Dauer (s);MFC-1 (mln/min);MFC-2 (mln/min);MFC-3 (mln/min);MFC-4 (mln/min);MFC-5 (mln/min);MFC-6 (mln/min);MFC-7 (mln/min);MFC-8 (mln/min);TIC-1 (°C);TIC-2 (°C);TIC-3 (°C);TIC-4 (°C);TIR-1 (°C);TIR-2 (°C);HIR-1 (°C);PIR-1 (bar)
610;0.00;105.04;0.00;104.90;0.00;0.00;59.02;17.22;31.96;180.05;461.05;179.94;476.13;469.88;80.49;0.06
615;0.00;105.01;0.00;104.99;0.00;0.00;59.02;17.22;31.96;180.05;460.10;180.08;475.07;468.91;80.49;0.06
620;0.00;105.01;0.00;105.00;0.00;0.00;59.01;17.23;31.97;180.05;459.81;180.13;472.93;466.97;80.49;0.07
625;0.00;104.93;0.00;105.00;0.00;0.00;59.00;17.20;31.97;180.05;459.83;180.17;471.88;466.01;80.49;0.08
630;0.00;105.01;0.00;104.99;0.00;0.00;58.97;17.20;31.98;180.08;460.02;180.19;470.84;465.02;80.49;0.09
635;0.00;104.99;0.00;104.99;0.00;0.00;59.00;17.17;31.98;180.07;459.46;180.16;468.78;464.07;80.49;0.07
640;0.00;105.03;0.00;104.92;0.00;0.00;58.99;17.20;31.99;180.07;458.66;180.11;467.76;462.17;80.49;0.06
645;0.00;105.01;0.00;104.98;0.00;0.00;59.02;17.22;31.99;180.06;458.02;180.06;466.74;461.23;80.49;0.06
650;0.00;104.99;0.00;105.00;0.00;0.00;59.02;17.17;32.00;180.05;457.11;179.99;465.74;460.30;80.49;0.08
655;0.00;104.94;0.00;105.00;0.00;0.00;59.02;17.20;31.99;180.05;457.05;179.83;463.73;458.43;80.49;0.08
660;0.00;104.98;0.00;104.97;0.00;0.00;58.99;17.20;32.00;180.06;457.02;179.76;462.75;457.52;80.49;0.08
665;0.00;104.99;0.00;105.01;0.00;0.00;58.98;17.22;32.00;180.07;456.76;179.71;461.77;456.61;80.49;0.07
670;0.00;105.02;0.00;104.93;0.00;0.00;59.01;17.20;32.01;180.05;455.03;179.64;460.81;455.71;80.49;0.06
675;0.00;105.03;0.00;104.98;0.00;0.00;59.02;17.22;32.01;180.04;454.29;179.65;459.07;454.02;80.49;0.06
680;0.00;105.01;0.00;104.98;0.00;0.00;59.02;17.22;32.02;180.04;453.74;179.66;458.57;453.45;80.49;0.08
685;0.00;104.97;0.00;105.00;0.00;0.00;59.01;17.22;32.03;180.05;453.48;179.69;458.54;453.25;80.49;0.08
690;0.00;104.98;0.00;104.97;0.00;0.00;58.98;17.19;32.03;180.05;453.48;179.81;460.15;453.50;80.49;0.08
695;0.00;105.01;0.00;105.00;0.00;0.00;59.01;17.20;32.02;180.06;453.08;179.87;461.62;455.32;80.49;0.06
700;0.00;105.03;0.00;104.91;0.00;0.00;59.01;17.20;32.03;180.07;452.39;179.94;463.38;456.78;80.49;0.06
705;0.00;105.03;0.00;105.00;0.00;0.00;59.02;17.25;32.05;180.08;451.50;180.05;465.39;458.47;80.49;0.06
710;0.00;105.01;0.00;105.01;0.00;0.00;59.02;17.23;32.05;180.07;451.46;180.08;470.48;462.74;80.49;0.07
